raw_file_id,survey_id,raw_source,archive_path,inner_name,file_size,platform,ingested_at
raw_0019,tally_w2Go1L,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Кинекст [w2Go1L].csv,tally_export/Кинекст [w2Go1L].csv,1339394,Tally,2026-06-04T02:24:17
raw_0020,tally_31dpWg,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос-исследование опыта использования программ лояльности [31dpWg].csv,tally_export/Опрос-исследование опыта использования программ лояльности [31dpWg].csv,4895144,Tally,2026-06-04T02:24:17
raw_0021,tally_3xMKXJ,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Количественное исследование для DFC [3xMKXJ].csv,tally_export/Количественное исследование для DFC [3xMKXJ].csv,1362665,Tally,2026-06-04T02:24:17
raw_0022,tally_wgoNMD,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Кинекст (Палумяэ) [wgoNMD].csv,tally_export/Кинекст (Палумяэ) [wgoNMD].csv,720647,Tally,2026-06-04T02:24:17
raw_0023,tally_w46pbO,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета онлайн опроса для клиентов Восточки [w46pbO].csv,tally_export/Анкета онлайн опроса для клиентов Восточки [w46pbO].csv,642888,Tally,2026-06-04T02:24:17
raw_0024,tally_nrxkLp,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос потребителей о привычках и выборе товаров для здоровья и домашнего использ [nrxkLp].csv,tally_export/Опрос потребителей о привычках и выборе товаров для здоровья и домашнего использ [nrxkLp].csv,1281192,Tally,2026-06-04T02:24:17
raw_0025,tally_mOXMkY,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Исследование рынка косметологических услуг в г. Самара [mOXMkY].csv,tally_export/Исследование рынка косметологических услуг в г. Самара [mOXMkY].csv,503483,Tally,2026-06-04T02:24:17
raw_0026,tally_nrOG9R,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Исследование потребительских особенностей в медицинских услугах [nrOG9R].csv,tally_export/Исследование потребительских особенностей в медицинских услугах [nrOG9R].csv,523975,Tally,2026-06-04T02:24:17
raw_0027,tally_w2Q0b9,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/EN. Исследование по аудитории пациентов в Казахстане [w2Q0b9].csv,tally_export/EN. Исследование по аудитории пациентов в Казахстане [w2Q0b9].csv,1290256,Tally,2026-06-04T02:24:17
raw_0028,tally_3EdEXq,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/КПК72 [3EdEXq].csv,tally_export/КПК72 [3EdEXq].csv,298003,Tally,2026-06-04T02:24:18
raw_0029,tally_w4jl05,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета количественного исследования для ГРФ (неклиенты)_2 [w4jl05].csv,tally_export/Анкета количественного исследования для ГРФ (неклиенты)_2 [w4jl05].csv,625200,Tally,2026-06-04T02:24:18
raw_0030,tally_meaMNl,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/(ДЖУГ неклиенты) Исследование опыта участников IT-конференций [meaMNl].csv,tally_export/(ДЖУГ неклиенты) Исследование опыта участников IT-конференций [meaMNl].csv,1425653,Tally,2026-06-04T02:24:18
raw_0031,tally_3j1bra,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос про губки [3j1bra].csv,tally_export/Опрос про губки [3j1bra].csv,733073,Tally,2026-06-04T02:24:18
